genus_vernacular;species_vernacular;genus_scientific;genus_author;species_scientific;primary_use;secondary_use;wild
Eidechsenwurz;Eidechsenwurz;Sauromatum;SCHOTT;NA;NA;NA;NA
Pinellie;Dreizählige P.;Pinellia;TEN.;P. ternata;Z;NA;NA
Pinellie;Dreigeteilte P.;Pinellia;TEN.;P. tripartita;Z;NA;NA
Feuerkolben;Chinesischer F.;Arisaema;MART.;A. consanguineum;Z;NA;NA
Feuerkolben;Griffith-F., Kobralilie;Arisaema;MART.;A. griffithii;Z;NA;NA
Feuerkolben;Drachen-F., Grüner Drache;Arisaema;MART.;A. dracontium;Z;NA;NA
Feuerkolben;Duftender F.;Arisaema;MART.;A. candidissimum;Z;NA;NA
Feuerkolben;Rachen-F.;Arisaema;MART.;NA;NA;NA;NA
Feuerkolben;Shikoku-F.;Arisaema;MART.;A. sikokianum;Z;NA;NA
Feuerkolben;Gelbgrüner F.;Arisaema;MART.;A. flavum;Z;NA;NA
Feuerkolben;Dreiblättriger F.;Arisaema;MART.;A. triphyllum;Z;NA;NA
Feuerkolben;Amur- F.;Arisaema;MART.;A. amurense;Z;NA;NA
Feuerkolben;Japanischer F.;Arisaema;MART.;F. japonica;Z;NA;W
Schwanenblume, Blumenbinse, Wasserliesch;Schwanenblume, Blumenbinse, Wasserliesch;Butomus;L.;NA;NA;NA;NA
Pfeilkraut;Breitblättriges Pf., Veränderliches Pf.;Sagittaria;L.;S. latifolia;Z;NA;W
Pfeilkraut;Gewöhnliches Pf.;Sagittaria;L.;S. sagittifolia;Z;NA;W
Froschlöffel;Grasblättriger F.;Alisma;L.;A. gramineum;Z;NA;W
Froschlöffel;Lanzett-F.;Alisma;L.;A. lanceolatum;Z;NA;W
Froschlöffel;Gewöhnlicher F.;Alisma;L.;A. vulgaris;Z;NA;W
Froschlöffel;Kleinblütiger F.;Alisma;L.;A. subcordatum;Z;NA;NA
Froschlöffel;Kleinblütiger F.;Alisma;L.;A. subcordatum;Z;NA;NA
Froschkraut;Froschkraut, Schwimmlöffel;Luronium;RAF.;L. natans;Z;NA;W
Igelschlauch;Igelschlauch;Baldellia;PARL.;NA;NA;NA;NA
Froschbiss;Froschbiss;Hydrocharis;L.;NA;NA;NA;NA
Krebsschere;Krebsschere;Stratiotes;L.;NA;NA;NA;NA
Wasserpest;Dichte W., Dichtblättrige W.;Egeria;PLANCH.;E. densa;Z;NA;W
Wasserpest;Dichte W., Dichtblättrige W.;Elodea;MICHX.;E. densa;Z;NA;W
Wasserpest;Wasserpest;Egeria;PLANCH.;NA;NA;NA;NA
Wasserpest;Wasserpest;Elodea;MICHX.;NA;NA;NA;NA
Wasserpest;Kanadische W.;Egeria;PLANCH.;E. canadensis;Z;NA;W
Wasserpest;Kanadische W.;Elodea;MICHX.;E. canadensis;Z;NA;W
Wasserpest;Nuttall-W.;Egeria;PLANCH.;E. nutallii;Z;NA;W
Wasserpest;Nuttall-W.;Elodea;MICHX.;E. nutallii;Z;NA;W
Wasserpest;Argentinische W., Wasserstern-W.;Egeria;PLANCH.;E. callitrichoides;Z;NA;W
Wasserpest;Argentinische W., Wasserstern-W.;Elodea;MICHX.;E. callitrichoides;Z;NA;W
Wasserähre;Kap.-W., Afrikanische W.;Aponogeton;L.;A. distachyos f.;Z;NA;NA
Laichkraut;Schwimmendes L.;Potamogeton;L.;P. natans;Z;NA;W
Laichkraut;Kamm-L.;Potamogeton;L.;P. pectinatus;Z;NA;W
Laichkraut;Durchwachsenes L.;Potamogeton;L.;P. perfoliatus;Z;NA;W
Laichkraut;Krauses L.;Potamogeton;L.;P. crispus;Z;NA;W
Schmerwurz;Gewöhnliche Sch.;Tamus;L.;B. asteroides;Z;NA;NA
Schmerwurz;Gewöhnliche Sch.;Tamus;L.;B. asteroides;N;Z;NA
Schmerwurz;Gewöhnliche Sch.;Tamus;L.;B. asteroides;N;NA;W
Schmerwurz;Gewöhnliche Sch.;Tamus;L.;B. asteroides;Z;NA;W
Yamswurzel;Fünflappige Y.;Dioscorea;L.;D. nipponica;Z;NA;NA
Yamswurzel;Chinesische Y.;Dioscorea;L.;D. polystachya;N;Z;NA
Yamswurzel;Balkan-Y.;Dioscorea;L.;D. balcanica;Z;NA;NA
Yamswurzel;Kaukasus-Y.;Dioscorea;L.;D. caucasica;Z;NA;NA
Germer;Schwarzer G.;Veratrum;L.;V. nigrum;Z;NA;NA
Germer;Maack- G.;Veratrum;L.;V. maackii;Z;NA;NA
Germer;Grüner G.;Veratrum;L.;V. viride;Z;NA;NA
Germer;Kalifornischer G;Veratrum;L.;V. californicum;Z;NA;NA
Germer;Weißer G.;Veratrum;L.;V. album;Z;NA;W
Melanthium, Büschelblume;Virginia-M.;Melanthium;L.;M. virginicum;Z;NA;NA
Melanthium, Büschelblume;Breitblättriges M.;Melanthium;L.;NA;NA;NA;NA
Jochlilie;Weiße J.;Zigadenus;MICHX.;Z. elegans;Z;NA;NA
Jochlilie;Fremont-J.;Zigadenus;MICHX.;Z. fremontii;Z;NA;NA
Jochlilie;Gift-J.;Zigadenus;MICHX.;Z. venenosus;Z;NA;NA
Jochlilie;Nuttall-J.;Zigadenus;MICHX.;Z. nuttallii;Z;NA;NA
Stenanthium, Federglocke;Gras-St., Federglocke;Stenanthium;(A.;St. gramineum;Z;NA;NA
Helonie, Sumpfkolben;Helonie;Helonias;L.;NA;NA;NA;NA
Einbeere;Vierblättrige E.;Paris;L.;NA;NA;NA;NA
Quirlblatt;Vielblättriges Qu;Daiswa;RAF.;D. polyphylla;Z;NA;NA
Quirlblatt;Vielblättriges Qu;Daiswa;RAF.;D. polyphylla;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Prärie-D.;Trillium;L.;T. recurvatum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Kröten-D.;Trillium;L.;T. sessile;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Grünblütiges D;Trillium;L.;T. chloropetalum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Gelbes D.;Trillium;L.;T. luteum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Keiliges D.;Trillium;L.;T. cuneatum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Geschecktes D.;Trillium;L.;T. kurabayashii;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Nickendes D.;Trillium;L.;T. cernuum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Rosa D.;Trillium;L.;T. catesbaei;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Kleines D.;Trillium;L.;T. nivale;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Gewelltes D.;Trillium;L.;T. undulatum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Großblütiges D.;Trillium;L.;T. grandiflorum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Stinkendes D;Trillium;L.;T. erectum;Z;NA;NA
Inkalilie;Papageien-I.;Alstroemeria;L.;A. psittacina;Z;NA;NA
Inkalilie;Verschiedenfarbige I.;Alstroemeria;L.;A. versicolor;Z;NA;NA
Inkalilie;Küsten-I;Alstroemeria;L.;A. pelegrina;Z;NA;NA
Inkalilie;Sims-I.;Alstroemeria;L.;A. ligtu subsp. simsii;Z;NA;NA
Inkalilie;Rosa I.;Alstroemeria;L.;A. ligtu subsp. incarnata;Z;NA;NA
Inkalilie;Gewöhnliche I.;Alstroemeria;L.;A. ligtu subsp. ligtu;Z;NA;NA
Inkalilie;Goldne I.;Alstroemeria;L.;A. aurea;Z;NA;NA
Zeitlose, Lichtblume;Frühlings-Lichtblume;Colchicum;L.;C. bulbocodium;Z;NA;NA
Zeitlose, Lichtblume;Verschiedenfarbige Lichtblume;Colchicum;L.;NA;NA;NA;NA
Zeitlose, Lichtblume;Berg-Z.;Colchicum;L.;C. montanum;Z;NA;NA
Zeitlose, Lichtblume;Sprossende Z.;Colchicum;L.;C. soboliferum;Z;NA;NA
Zeitlose, Lichtblume;Arche-Noah-Z;Colchicum;L.;C. trigynum;Z;NA;NA
Zeitlose, Lichtblume;Attische Z.;Colchicum;L.;C. atticum;Z;NA;NA
Zeitlose, Lichtblume;Gelbe Z;Colchicum;L.;C. luteum;Z;NA;NA
Zeitlose, Lichtblume;Kesselring-Z.;Colchicum;L.;C. kesselringii;Z;NA;NA
Zeitlose, Lichtblume;Vorfrühlings-Z., Szovits-Z;Colchicum;L.;C. szovitsii;Z;NA;NA
Zeitlose, Lichtblume;Ungarische Z.;Colchicum;L.;C. hungaricum;Z;NA;NA
Zeitlose, Lichtblume;Dörfler-Z.;Colchicum;L.;Sch. doerfleri;Z;NA;NA
Zeitlose, Lichtblume;Zilizische Z.;Colchicum;L.;C. cilicicum;Z;NA;NA
Zeitlose, Lichtblume;Frühe Schachbrett-Herbstz;Colchicum;L.;C. × agrippinum;Z;NA;NA
Zeitlose, Lichtblume;Balkan-Herbstz., Bivona-Herbstz.;Colchicum;L.;C. bivonae;Z;NA;NA
Zeitlose, Lichtblume;Herbstzeitlose;Colchicum;L.;NA;NA;NA;NA
Zeitlose, Lichtblume;Riesen-Herbstzeitlose;Colchicum;L.;C. bornmuelleri;Z;NA;NA
Zeitlose, Lichtblume;Prächtige Herbstz., Kaukasus-Herbstz;Colchicum;L.;C. speciosum;Z;NA;NA
Zeitlose, Lichtblume;Persische H.;Colchicum;L.;NA;NA;NA;NA
Zeitlose, Lichtblume;Alpen-Herbstz.;Colchicum;L.;C. alpinum;Z;NA;NA
Zeitlose, Lichtblume;Schatten-Herbstz.;Colchicum;L.;C. umbrosum;Z;NA;NA
Mormonentulpe;Weiße M.;Calochortus;PURSH;C. albus;Z;NA;NA
Mormonentulpe;Goldne M.;Calochortus;PURSH;NA;NA;NA;NA
Mormonentulpe;Hellblaue M.;Calochortus;PURSH;NA;NA;NA;NA
Mormonentulpe;Schmetterlings-M.;Calochortus;PURSH;NA;NA;NA;NA
Mormonentulpe;Glänzende M.;Calochortus;PURSH;NA;NA;NA;NA
Mormonentulpe;Gestreifte M.;Calochortus;PURSH;NA;NA;NA;NA
Mormonentulpe;Vesta-M.;Calochortus;PURSH;NA;NA;NA;NA
Mormonentulpe;Getüpfelte M.;Calochortus;PURSH;NA;NA;NA;NA
Tulpe;Turkestanische T.;Tulipa;L.;T. turkestanica;Z;NA;NA
Tulpe;Zweiblütige T.;Tulipa;L.;T. biflora;Z;NA;NA
Tulpe;Mehrfarbige T.;Tulipa;L.;NA;NA;NA;NA
Tulpe;Kandia-T;Tulipa;L.;T. saxatilis;Z;NA;NA
Tulpe;Orphanides-T.;Tulipa;L.;T. orphanidea;Z;NA;NA
Tulpe;Niedrige T.;Tulipa;L.;T. pumilus;Z;NA;NA
Tulpe;Niedrige T.;Tulipa;L.;T. pumilus;Z;NA;NA
Tulpe;Urmia-T.;Tulipa;L.;T. urumiensis;Z;NA;NA
Tulpe;Wilde T.;Tulipa;L.;NA;NA;NA;NA
Tulpe;Tarda-T., Stern-T.;Tulipa;L.;T. tarda;Z;NA;NA
Tulpe;Kleine Stern-T.;Tulipa;L.;T. dasystemon;Z;NA;NA
Tulpe;Neustrueva-T;Tulipa;L.;NA;NA;NA;NA
Tulpe;Horn-T.;Tulipa;L.;T. acuminata;Z;NA;NA
Tulpe;Sprenger-T.;Tulipa;L.;T. sprengeri;Z;NA;NA
Tulpe;Greig-T.;Tulipa;L.;T. greigii;Z;NA;NA
Tulpe;Mogoltau-T.;Tulipa;L.;NA;NA;NA;NA
Tulpe;Micheli-T.;Tulipa;L.;T. micheliana;Z;NA;NA
Tulpe;Vortreffliche T.;Tulipa;L.;T. praestans;Z;NA;NA
Tulpe;Vvedenski-T.;Tulipa;L.;NA;NA;NA;NA
Tulpe;Seerosen-Tulpe;Tulipa;L.;T. kaufmanniana;Z;NA;NA
Tulpe;Woll-T.;Tulipa;L.;T. lanata;Z;NA;NA
Tulpe;Tubergen-T.;Tulipa;L.;T. tubergeniana;Z;NA;NA
Tulpe;Wellblatt-T.;Tulipa;L.;T. undulatifolia;Z;NA;NA
Tulpe;Foster-T;Tulipa;L.;T. fosteriana;Z;NA;NA
Tulpe;Feurige T.;Tulipa;L.;NA;NA;NA;NA
Tulpe;Ostrowski-T.;Tulipa;L.;T. ostrowskiana;Z;NA;NA
Tulpe;Kolpakowski-T.;Tulipa;L.;T. kolpakowskiana;Z;NA;NA
Tulpe;Vierblättrige T.;Tulipa;L.;NA;NA;NA;NA
Tulpe;Leinblättrige T.;Tulipa;L.;T. linifolia;Z;NA;NA
Tulpe;Maximowitsch-T.;Tulipa;L.;NA;NA;NA;NA
Tulpe;Berg-T.;Tulipa;L.;T. montana wilsoniana;Z;NA;NA
Tulpe;Julia-T;Tulipa;L.;T. julia montana;Z;NA;NA
Tulpe;Damen-T.;Tulipa;L.;T. clusiana;Z;NA;NA
Tulpe;Bergfreund;Tulipa;L.;NA;NA;NA;NA
Tulpe;Sonnenaugen-T.;Tulipa;L.;T. agenensis;Z;NA;NA
Tulpe;Frühe T.;Tulipa;L.;NA;NA;NA;NA
Tulpe;Armenische T.;Tulipa;L.;T. armena;Z;NA;NA
Tulpe;Schrenk-T;Tulipa;L.;NA;NA;NA;NA
Tulpe;Garten-T.;Tulipa;L.;T. gesneriana;Z;NA;NA
Hundszahn, Zahnlilie;Großblütiger H;Erythronium;L.;G. grandiflorum;Z;NA;NA
Hundszahn, Zahnlilie;Stern-H., Tuolumne-H.;Erythronium;L.;E. tuolumnense;Z;NA;NA
Hundszahn, Zahnlilie;Weißlicher H.;Erythronium;L.;E. albidum;Z;NA;NA
Hundszahn, Zahnlilie;Rosa H.;Erythronium;L.;E. revolutum;Z;NA;NA
Hundszahn, Zahnlilie;Rosa H.;Erythronium;L.;E. revolutum;Z;NA;NA
Hundszahn, Zahnlilie;Henderson- H.;Erythronium;L.;E. hendersonii;Z;NA;NA
Hundszahn, Zahnlilie;Europäischer H.;Erythronium;L.;E. dens-canis;Z;NA;NA
Hundszahn, Zahnlilie;Japanischer H.;Erythronium;L.;NA;NA;NA;NA
Hundszahn, Zahnlilie;Sibirischer H.;Erythronium;L.;E. sibiricum;Z;NA;NA
Hundszahn, Zahnlilie;Ostamerikanischer H.;Erythronium;L.;E. americanum;Z;NA;NA
Hundszahn, Zahnlilie;Kaukasus-H.;Erythronium;L.;E. caucasicum;Z;NA;NA
Hundszahn, Zahnlilie;Oregon-H.;Erythronium;L.;E. oregonum;Z;NA;NA
Hundszahn, Zahnlilie;Gelber H.;Erythronium;L.;G. flavum;Z;NA;NA
Hundszahn, Zahnlilie;Vielschäftiger H.;Erythronium;L.;E. multiscapideum;Z;NA;NA
Hundszahn, Zahnlilie;Kalifornischer H.;Erythronium;L.;E. californicum;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Kaiserkrone;Fritillaria;L.;NA;NA;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Zwerg-Kaiserkrone;Fritillaria;L.;NA;NA;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Eduard-K.;Fritillaria;L.;F. eduardii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Buchara-F.;Fritillaria;L.;F. bucharica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Sporn-F.;Fritillaria;L.;F. stenanthera;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Tonlilie, Mehrblütige F.;Fritillaria;L.;F. pluriflora;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Erzurum-Schachblume;Fritillaria;L.;F. alburyana;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Goldei-F., Gold-Schachblume;Fritillaria;L.;F. aurea;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Schwefelgelbe Schachblume;Fritillaria;L.;F. collina;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Schamhafte F.;Fritillaria;L.;F. pudica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Karische F.;Fritillaria;L.;F. carica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Sibthorp-F.;Fritillaria;L.;F. sibthorpiana;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Fahlblütige F.;Fritillaria;L.;F. pallidiflora;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Altai-Schachblume;Fritillaria;L.;F. verticillata;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Thunberg-Schachblume;Fritillaria;L.;F. thunbergii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Scharlachrote F.;Fritillaria;L.;F. coccinea;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Scharlachrote F.;Fritillaria;L.;F. coccinea;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Schatten-Schachblume;Fritillaria;L.;F. camtschatcensis;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Schwarze F;Fritillaria;L.;NA;NA;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Sprenkel-F.;Fritillaria;L.;F. affinis;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Weiße F;Fritillaria;L.;S. album;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Stinkende F.;Fritillaria;L.;NA;NA;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Zweiblütige F., Missionsglocke;Fritillaria;L.;F. biflora;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Persische F.;Fritillaria;L.;F. persica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Sewerzow-F;Fritillaria;L.;F. sewerzowii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Kleine F.;Fritillaria;L.;F. minuta;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Fuchstrauben-F.;Fritillaria;L.;F. uva-vulpis;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Bithynische F.;Fritillaria;L.;F. bithynica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Purpurbraune F.;Fritillaria;L.;F. caucasica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Grünstreifige F.;Fritillaria;L.;F. elwesii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Syrische F.;Fritillaria;L.;F. assyriaca;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Pinard-F.;Fritillaria;L.;F. pinardii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Schachblume, Kiebitzei;Fritillaria;L.;F. meleagris;Z;NA;W
Fritillarie, Schachblume, Kaiserkrone;Ukrainische Schachblume;Fritillaria;L.;F. ruthenica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Orientalische Schachblume;Fritillaria;L.;F. orientalis;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Michailovsky-F.;Fritillaria;L.;F. michailovskyi;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Pyrenäen-Schachblume;Fritillaria;L.;F. nigra;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Breitglocken-Schachblume, Breitblättrige F.;Fritillaria;L.;F. latifolia;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Westalpen-Schachblume;Fritillaria;L.;NA;NA;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Pontus-F.;Fritillaria;L.;F. pontica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Davis-Schachblume;Fritillaria;L.;F. davisii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Spitzkronige F.;Fritillaria;L.;F. acmopetala;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Gegenblättrige Schachblume;Fritillaria;L.;F. involucrata;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Dickblättrige Sch.;Fritillaria;L.;F. crassifolia;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Griechische Schachblume;Fritillaria;L.;F. graeca;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Thessalische Sch.;Fritillaria;L.;NA;NA;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Messina-Sch;Fritillaria;L.;F. messanensis;Z;NA;NA
Riesenlilie;Riesenlilie;Cardiocrinum;(ENDL.);NA;NA;NA;NA
Lilie;Goldtürkenbund-L.;Lilium;L.;L. hansonii;Z;NA;NA
Lilie;Türkenbund-L.;Lilium;L.;L. hansonii;Z;NA;W
Lilie;Kanadische Wiesen-L.;Lilium;L.;L. canadense;Z;NA;NA
Lilie;Prächtige Türkenbund-L.;Lilium;L.;L. superbum;Z;NA;NA
Lilie;Panther-L.;Lilium;L.;L. pardalinum;Z;NA;NA
Lilie;Abendrot-L.;Lilium;L.;NA;NA;NA;NA
Lilie;Isabell-L., Nanking-L.;Lilium;L.;L. testaceum;Z;NA;NA
Lilie;Madonnen-L.;Lilium;L.;L. candidum;Z;NA;NA
Lilie;Königs-L.;Lilium;L.;L. regale;Z;NA;NA
Lilie;Sargent-L.;Lilium;L.;L. sargentiae;Z;NA;NA
Lilie;Oster-L.;Lilium;L.;L. longiflorum;Z;NA;NA
Lilie;Goldband-L.;Lilium;L.;L. auratum;Z;NA;NA
Lilie;Pracht-L.;Lilium;L.;L. speciosum;Z;NA;NA
Lilie;Nickende L;Lilium;L.;L. cernuum;Z;NA;NA
Lilie;Nepal-L.;Lilium;L.;L. nepalense;Z;NA;NA
Lilie;Feuer-L.;Lilium;L.;NA;NA;NA;NA
Lilie;Ge-fleckte L.;Lilium;L.;NA;NA;NA;NA
Lilie;Daurische L.;Lilium;L.;L. pensylvanicum;Z;NA;NA
Lilie;Holland-L;Lilium;L.;L. × hollandicum;Z;NA;NA
Lilie;Lackrote L., Korallen-L.;Lilium;L.;L. pumilum;Z;NA;NA
Lilie;David-L.;Lilium;L.;L. davidii;Z;NA;NA
Lilie;Tiger-L;Lilium;L.;L. lancifolium;Z;NA;NA
Lilie;Leichtlin-L.;Lilium;L.;NA;NA;NA;NA
Lilie;Henry-L.;Lilium;L.;L. henryi;Z;NA;NA
Lilie;Chalzedon-L.;Lilium;L.;L. chalcedonicum;Z;NA;NA
Lilie;Pyrenäen-L.;Lilium;L.;L. pyrenaicum;Z;NA;NA
Lilie;Gelbe Kaukasus-L.;Lilium;L.;L. monadelphum;Z;NA;NA
Lilie;Kesselring-L.;Lilium;L.;NA;NA;NA;NA
Frauenschuh;Widder-F., Gehörnter F.;Cypripedium;NA;C. arietinum;Z;NA;NA
Frauenschuh;Büschelblütiger F.;Cypripedium;NA;C. fasciculatum;Z;NA;NA
Frauenschuh;Gesprenkelter F.;Cypripedium;NA;C. guttatum;Z;NA;NA
Frauenschuh;Yatabe-F.;Cypripedium;NA;C. yatabeanum;Z;NA;NA
Frauenschuh;Fächerblättriger F.;Cypripedium;NA;C. japonicum;Z;NA;NA
Frauenschuh;Taiwan-F.;Cypripedium;NA;C. formosanum;Z;NA;NA
Frauenschuh;Schwächlicher F.;Cypripedium;NA;C. debile f.;Z;NA;NA
Frauenschuh;Rosablütiger F.;Cypripedium;NA;C. acaule;Z;NA;NA
Frauenschuh;Büschelblütiger F.;Cypripedium;NA;C. fasciculatum;Z;NA;NA
Frauenschuh;Königin-F.;Cypripedium;NA;C. reginae;Z;NA;NA
Frauenschuh;Sperlingsei-F.;Cypripedium;NA;C. passerinum;Z;NA;NA
Frauenschuh;Großblütiger F.;Cypripedium;NA;D. grandiflora;Z;NA;W
Frauenschuh;Großblütiger F.;Cypripedium;NA;D. grandiflora;Z;NA;NA
Frauenschuh;Tibet-F.;Cypripedium;NA;NA;NA;NA;NA
Frauenschuh;Himalaja-F.;Cypripedium;NA;T. himalayanum;Z;NA;NA
Frauenschuh;Himalaja-F.;Cypripedium;NA;T. himalayanum;Z;NA;NA
Frauenschuh;Himalaja-F.;Cypripedium;NA;T. himalayanum;Z;NA;NA
Frauenschuh;Herztragender F.;Cypripedium;NA;C. cordigerum;Z;NA;NA
Frauenschuh;Weißer F.;Cypripedium;NA;M. cordata;Z;NA;NA
Frauenschuh;Weißer F.;Cypripedium;NA;M. cordata;Z;NA;NA
Frauenschuh;Berg-F.;Cypripedium;NA;Th. montana;Z;NA;NA
Frauenschuh;Berg-F.;Cypripedium;NA;Th. montana;Z;NA;W
Frauenschuh;Berg-F.;Cypripedium;NA;Th. montana;Z;NA;NA
Frauenschuh;Henry-F.;Cypripedium;NA;C. henryi;Z;NA;NA
Frauenschuh;Gebänderter F.;Cypripedium;NA;C. fasciolatum;Z;NA;NA
Frauenschuh;Marien-F.;Cypripedium;NA;C. calceolus;Z;NA;W
Frauenschuh;Kleinblütiger F.;Cypripedium;NA;A. subcordatum;Z;NA;NA
Frauenschuh;Kleinblütiger F.;Cypripedium;NA;A. subcordatum;Z;NA;NA
Frauenschuh;Kleinblütiger F.;Cypripedium;NA;A. subcordatum;Z;NA;NA
Frauenschuh;Kleinblütiger F.;Cypripedium;NA;A. subcordatum;Z;NA;NA
Ständelwurz, Sitter;Germerblättrige S.;Epipactis;ZINN;E. veratrifolia;Z;NA;NA
Ständelwurz, Sitter;Riesen-S.;Epipactis;ZINN;H. giganteus;Z;NA;NA
Ständelwurz, Sitter;Riesen-S.;Epipactis;ZINN;H. giganteus;Z;NA;NA
Ständelwurz, Sitter;Riesen-S.;Epipactis;ZINN;H. giganteus;N;NA;W
Ständelwurz, Sitter;Thunberg-S.;Epipactis;ZINN;NA;NA;NA;NA
Ständelwurz, Sitter;Sumpf-S., Sumpfwurz;Epipactis;ZINN;E. palustris;Z;NA;W
Ständelwurz, Sitter;Braunrote S.;Epipactis;ZINN;E. atrorubens;Z;NA;W
Ständelwurz, Sitter;Breitblättrige S.;Epipactis;ZINN;E. helleborine;Z;NA;W
Ständelwurz, Sitter;Violette S.;Epipactis;ZINN;E. purpurata;Z;NA;W
Netzblatt, Kriechständel;Flaumhaariges N.;Goodyera;R.;G. pubescens;Z;NA;NA
Netzblatt, Kriechständel;Länglichblättriges N.;Goodyera;R.;G. oblongifolia;Z;NA;NA
Netzblatt, Kriechständel;Kriechendes N., Kriechständel;Goodyera;R.;G. repens;Z;NA;W
Purpurkappenorchis;Ansehnliche P.;Galearis;RAF.;P. spectabilis;Z;NA;NA
Purpurkappenorchis;Ansehnliche P.;Galearis;RAF.;P. spectabilis;Z;NA;NA
Einblattorchis;Einblattorchis;Amerorchis;HULTEN;NA;NA;NA;NA
Kammorchis;Kammorchis;Pecteilis;RAF.;NA;NA;NA;NA
Disa, Stolz des Tafelberges;Stolz des Tafelberges;Disa;BERGIUS;NA;NA;NA;NA
Chinaorchidee, Japanorchidee;Gelbe Ch.;Bletilla;RCHB.;B. ochracea;Z;NA;NA
Chinaorchidee, Japanorchidee;Taiwan-Ch.;Bletilla;RCHB.;B. formosana;Z;NA;NA
Chinaorchidee, Japanorchidee;Gestreifte Ch.;Bletilla;RCHB.;B. striata f.;Z;NA;NA
Schönbartorchis;Schönbartorchis;Calopogon;R.;NA;NA;NA;NA
Schönorchis;Spornlose Sch.;Calanthe;KER;C. tricarinata;Z;NA;NA
Schönorchis;Zurückgebogene Sch.;Calanthe;KER;C. reflexa;Z;NA;NA
Schönorchis;Alpine Sch.;Calanthe;KER;C. alpina f.;Z;NA;NA
Schönorchis;Gabellippige Sch.;Calanthe;KER;C. furcata;Z;NA;NA
Schönorchis;Kyushu-Sch.;Calanthe;KER;C. japonica;Z;NA;NA
Schönorchis;Lockerblütige Sch.;Calanthe;KER;C. aristulifera f.;Z;NA;NA
Schönorchis;Honshu-Sch.;Calanthe;KER;C. nipponica;Z;NA;NA
Schönorchis;Zweifarbige Sch.;Calanthe;KER;C. discolor;Z;NA;NA
