vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Milchweißer M.;– A. lactea L. ;Milchweißer M.;A. lactea L. ;A. lactea L. ;A. lactea L. ;A. lactea L. ;A. lactea
Zottiger M.;– A. villosa L. 12* Bl beidseits ± kahl,;Zottiger M.;A. villosa L. 12* Bl beidseits ± kahl,;A. villosa L. 12* Bl beidseits ± kahl,;A. villosa L. ;A. villosa L. ;A. villosa
Bewimperter M.;– A. chamaejasme WULFEN;Bewimperter M.;A. chamaejasme WULFEN;A. chamaejasme WULFEN;A. chamaejasme WULFEN;A. chamaejasme WULFEN;A. chamaejasme
Fleischroter M.;– A. carnea L. 13* Bl verkehrteilanzettl;Fleischroter M.;A. carnea L. 13* Bl verkehrteilanzettl;A. carnea L. 13* Bl verkehrteilanzettl;A. carnea L. ;A. carnea L. ;A. carnea
Stumpfblättriger M.;– A. obtusifolia L. Ähnlich: Balkanische;Stumpfblättriger M.;A. obtusifolia L. Ähnlich: Balkanische;A. obtusifolia L. Ähnlich: Balkanische;A. obtusifolia L. ;A. obtusifolia L. ;A. obtusifolia
Kugeltragender M.;– A. globifera DUBY;Kugeltragender M.;A. globifera DUBY;A. globifera DUBY;A. globifera DUBY;A. globifera DUBY;A. globifera
Pyrenäen-M.;– A. pyrenaica LAM.16 (14) BStiel meist ;Pyrenäen-M.;A. pyrenaica LAM.16 (14) BStiel meist ;A. pyrenaica LAM.16 (14) BStiel meist ;A. pyrenaica LAM.;A. pyrenaica LAM.;A. pyrenaica
Vandell-M.;– A. vandellii (TURRA) CHIOV.18* Bl mit ;Vandell-M.;A. vandellii (TURRA) CHIOV.18* Bl mit ;A. vandellii (TURRA) CHIOV.18* Bl mit ;A. vandellii (TURRA) CHIOV.;A. vandellii (TURRA) CHIOV.;A. vandellii
Zylindrischer M.;– A. cylindrica DC.;Zylindrischer M.;A. cylindrica DC.;A. cylindrica DC.;A. cylindrica DC.;A. cylindrica DC.;A. cylindrica
Schweizer M.;– A. helvetica (L.) ALL.;Schweizer M.;A. helvetica (L.) ALL.;A. helvetica (L.) ALL.;A. helvetica (L.) ALL.;A. helvetica (L.) ALL.;A. helvetica
Apenninischer M.;– A. mathildae LEVIER20* Bl mit einfache;Apenninischer M.;A. mathildae LEVIER20* Bl mit einfache;A. mathildae LEVIER20* Bl mit einfache;A. mathildae LEVIER;A. mathildae LEVIER;A. mathildae
Weichhaariger M.;– A. pubescens DC.;Weichhaariger M.;A. pubescens DC.;A. pubescens DC.;A. pubescens DC.;A. pubescens DC.;A. pubescens
Alpen-M.;– P. alpinum L. Folgende Unterarten sind;Alpen-M.;P. alpinum L. Folgende Unterarten sind;P. alpinum L. Folgende Unterarten sind;P. alpinum L. Folgende Unterarten sind;P. alpinum L. Folgende Unterarten sind;P. alpinum
Gamsblume, Alpen-Aurikel;– P. auricula L.Ähnlich: Garten-P., Gart;Gamsblume, Alpen-Aurikel;P. auricula L.Ähnlich: Garten-P., Gart;P. auricula L.Ähnlich: Garten-P., Gart;P. auricula L.;P. auricula L.;P. auricula
Palinuri-P.;– P. palinuri PETAGNA;Palinuri-P.;P. palinuri PETAGNA;P. palinuri PETAGNA;P. palinuri PETAGNA;P. palinuri PETAGNA;P. palinuri
New Mexico-P.;– P. ellisiae POLLARD et COCKERELL5* Kr ;New Mexico-P.;P. ellisiae POLLARD et COCKERELL5* Kr ;P. ellisiae POLLARD et COCKERELL5* Kr ;P. ellisiae POLLARD et COCKERELL;P. ellisiae POLLARD et COCKERELL;P. ellisiae
Seealpen-P.;– P. marginata CURTIS;Seealpen-P.;P. marginata CURTIS;P. marginata CURTIS;P. marginata CURTIS;P. marginata CURTIS;P. marginata
