vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Gefleckte G.;– M. guttatus FISCH. ex DC.;Gefleckte G.;M. guttatus FISCH. ex DC.;M. guttatus FISCH. ex DC.;M. guttatus FISCH. ex DC.;M. guttatus FISCH. ex DC.;M. guttatus
Gelbe G.;– M. luteus L.Hierher gehören Hybr mit M;Gelbe G.;M. luteus L.Hierher gehören Hybr mit M;M. luteus L.Hierher gehören Hybr mit M;M. luteus L.Hierher gehören Hybr mit M;M. luteus L.Hierher gehören Hybr mit M;M. luteus
Moschus-G.;– M. moschatus DOUGLAS ex LINDL.;Moschus-G.;M. moschatus DOUGLAS ex LINDL.;M. moschatus DOUGLAS ex LINDL.;M. moschatus DOUGLAS ex LINDL.;M. moschatus DOUGLAS ex LINDL.;M. moschatus
Scharlachrote G.;– M. cardinalis DOUGLAS ex BENTH.Ähnlich;Scharlachrote G.;M. cardinalis DOUGLAS ex BENTH.Ähnlich;M. cardinalis DOUGLAS ex BENTH.Ähnlich;M. cardinalis DOUGLAS ex BENTH.;M. cardinalis DOUGLAS ex BENTH.;M. cardinalis
Fournier-T.;– T. fournieri LINDEN;Fournier-T.;T. fournieri LINDEN;T. fournieri LINDEN;T. fournieri LINDEN;T. fournieri LINDEN;T. fournieri
Zwerg-L.;– L. nanus DOUGLAS: Blchen nur zu 5–7. B;Zwerg-L.;L. nanus DOUGLAS: Blchen nur zu 5–7. B;L. nanus DOUGLAS: Blchen nur zu 57. B;L. nanus DOUGLAS;L. nanus DOUGLAS;L. nanus
Kriechendes L.;– M. radicans (HOOK. f.) CHEESEMANÄhnlic;Kriechendes L.;M. radicans (HOOK. f.) CHEESEMANÄhnlic;M. radicans (HOOK. f.) CHEESEMANÄhnlic;M. radicans (HOOK. f.) CHEESEMAN;M. radicans (HOOK. f.) CHEESEMAN;M. radicans
Virginischer E.;– V. virginica L.;Virginischer E.;V. virginica L.;V. virginica L.;V. virginica L.;V. virginica L.;V. virginica
Enzian-E.;– V. gentianoides VAHL;Enzian-E.;V. gentianoides VAHL;V. gentianoides VAHL;V. gentianoides VAHL;V. gentianoides VAHL;V. gentianoides
Bach-E., Bachbunge;– V. beccabunga L.4* Pfl wenigstens teil;Bach-E., Bachbunge;V. beccabunga L.4* Pfl wenigstens teil;V. beccabunga L.4* Pfl wenigstens teil;V. beccabunga L.;V. beccabunga L.;V. beccabunga
Österreichischer E.;– V. austriaca L.Ähnlich: Jacquin-E. – V;Österreichischer E.;V. austriaca L.Ähnlich: Jacquin-E. – V;V. austriaca L.Ähnlich: Jacquin-E. – V;V. austriaca L.;V. austriaca L.;V. austriaca
Großer E.;– V. teucrium L.7 (5) Stg mit 2 Längsrei;Großer E.;V. teucrium L.7 (5) Stg mit 2 Längsrei;V. teucrium L.7 (5) Stg mit 2 Längsrei;V. teucrium L.;V. teucrium L.;V. teucrium
Gamander-E.;– V. chamaedrys L.;Gamander-E.;V. chamaedrys L.;V. chamaedrys L.;V. chamaedrys L.;V. chamaedrys L.;V. chamaedrys
Nesselblättriger E.;– V. urticifolia JACQ.;Nesselblättriger E.;V. urticifolia JACQ.;V. urticifolia JACQ.;V. urticifolia JACQ.;V. urticifolia JACQ.;V. urticifolia
Faden-E.;– V. filiformis SM.8* B in end- od. seit;Faden-E.;V. filiformis SM.8* B in end- od. seit;V. filiformis SM.8* B in end- od. seit;V. filiformis SM.;V. filiformis SM.;V. filiformis
Schmidt-E.;– V. schmidtiana REGEL;Schmidt-E.;V. schmidtiana REGEL;V. schmidtiana REGEL;V. schmidtiana REGEL;V. schmidtiana REGEL;V. schmidtiana
Armenischer E.;– V. armena BOISS. et A. HUET11 (9) Bl w;Armenischer E.;V. armena BOISS. et A. HUET11 (9) Bl w;V. armena BOISS. et A. HUET11 (9) Bl w;V. armena BOISS. et A. HUET;V. armena BOISS. et A. HUET;V. armena
Seidiger E.;– V. bombycina BOISS. et KOTSCHY13* Pfl ;Seidiger E.;V. bombycina BOISS. et KOTSCHY13* Pfl ;V. bombycina BOISS. et KOTSCHY13* Pfl ;V. bombycina BOISS. et KOTSCHY;V. bombycina BOISS. et KOTSCHY;V. bombycina
Schösslings-E.;– V. surculosa BOISS. et BALANSA;Schösslings-E.;V. surculosa BOISS. et BALANSA;V. surculosa BOISS. et BALANSA;V. surculosa BOISS. et BALANSA;V. surculosa BOISS. et BALANSA;V. surculosa
Poleiblättriger E.;– V. polifolia BENTH.14* Bl linealisch, ;Poleiblättriger E.;V. polifolia BENTH.14* Bl linealisch, ;V. polifolia BENTH.14* Bl linealisch, ;V. polifolia BENTH.;V. polifolia BENTH.;V. polifolia
Graublättriger E.;– V. cinerea BOISS. et BALANSAÄhnlich: R;Graublättriger E.;V. cinerea BOISS. et BALANSAÄhnlich: R;V. cinerea BOISS. et BALANSAÄhnlich: R;V. cinerea BOISS. et BALANSA;V. cinerea BOISS. et BALANSA;V. cinerea
Blattloser E.;– V. aphylla L.;Blattloser E.;V. aphylla L.;V. aphylla L.;V. aphylla L.;V. aphylla L.;V. aphylla
Halbstrauch-E.;– V. fruticulosa L.;Halbstrauch-E.;V. fruticulosa L.;V. fruticulosa L.;V. fruticulosa L.;V. fruticulosa L.;V. fruticulosa
Felsen-E.;– V. fruticans JACQ.;Felsen-E.;V. fruticans JACQ.;V. fruticans JACQ.;V. fruticans JACQ.;V. fruticans JACQ.;V. fruticans
Allioni-E.;– V. allionii VILL.;Allioni-E.;V. allionii VILL.;V. allionii VILL.;V. allionii VILL.;V. allionii VILL.;V. allionii
Kriechender E.;– V. repens CLARION ex DC.20 (18) Pfl po;Kriechender E.;V. repens CLARION ex DC.20 (18) Pfl po;V. repens CLARION ex DC.20 (18) Pfl po;V. repens CLARION ex DC.;V. repens CLARION ex DC.;V. repens
Orientalischer E.;– V. orientalis MILL.;Orientalischer E.;V. orientalis MILL.;V. orientalis MILL.;V. orientalis MILL.;V. orientalis MILL.;V. orientalis
Liegender E.;– V. prostrata L.;Liegender E.;V. prostrata L.;V. prostrata L.;V. prostrata L.;V. prostrata L.;V. prostrata
Silbergrauer B.;– P. incanum (L.) HOLUB;Silbergrauer B.;P. incanum (L.) HOLUB;P. incanum (L.) HOLUB;P. incanum (L.) HOLUB;P. incanum (L.) HOLUB;P. incanum
Ähren-B.;– P. spicatum (L.) OPIZ;Ähren-B.;P. spicatum (L.) OPIZ;P. spicatum (L.) OPIZ;P. spicatum (L.) OPIZ;P. spicatum (L.) OPIZ;P. spicatum
Langblättriger B.;– P. longifolium (L.) OPIZ3* DeckBl kürz;Langblättriger B.;P. longifolium (L.) OPIZ3* DeckBl kürz;P. longifolium (L.) OPIZ3* DeckBl kürz;P. longifolium (L.) OPIZ;P. longifolium (L.) OPIZ;P. longifolium
Rispen-B.;– P. spurium (L.) OPIZ;Rispen-B.;P. spurium (L.) OPIZ;P. spurium (L.) OPIZ;P. spurium (L.) OPIZ;P. spurium (L.) OPIZ;P. spurium
Ockergelber St.;– H. ochracea ASHWIN;Ockergelber St.;H. ochracea ASHWIN;H. ochracea ASHWIN;H. ochracea ASHWIN;H. ochracea ASHWIN;H. ochracea
Zypressen-St.;– H. cupressoides (HOOK. f.) ANDERSEN;Zypressen-St.;H. cupressoides (HOOK. f.) ANDERSEN;H. cupressoides (HOOK. f.) ANDERSEN;H. cupressoides (HOOK. f.) ANDERSEN;H. cupressoides (HOOK. f.) ANDERSEN;H. cupressoides
Buchsblättriger St.;– H. buxifolia (BENTH.) COCKAYNE et ALLA;Buchsblättriger St.;H. buxifolia (BENTH.) COCKAYNE et ALLA;H. buxifolia (BENTH.) COCKAYNE et ALLA;H. buxifolia (BENTH.) COCKAYNE et ALLA;H. buxifolia (BENTH.) COCKAYNE et ALLA;H. buxifolia
Kurzröhriger St.;– H. brachysiphon SUMMERH.5 (3) Bl dick-;Kurzröhriger St.;H. brachysiphon SUMMERH.5 (3) Bl dick-;H. brachysiphon SUMMERH.5 (3) Bl dick-;H. brachysiphon SUMMERH.;H. brachysiphon SUMMERH.;H. brachysiphon
Dickblättriger St.;– H. pinguifolia (HOOK. f.) COCKAYNE et ;Dickblättriger St.;H. pinguifolia (HOOK. f.) COCKAYNE et ;H. pinguifolia (HOOK. f.) COCKAYNE et ;H. pinguifolia (HOOK. f.) COCKAYNE et ;H. pinguifolia (HOOK. f.) COCKAYNE et ;H. pinguifolia
Graublättriger St.;– H. pimeleoides (HOOK. f.) COCKAYNE et ;Graublättriger St.;H. pimeleoides (HOOK. f.) COCKAYNE et ;H. pimeleoides (HOOK. f.) COCKAYNE et ;H. pimeleoides (HOOK. f.) COCKAYNE et ;H. pimeleoides (HOOK. f.) COCKAYNE et ;H. pimeleoides
Stern-F.;– S. stellata PENNELL;Stern-F.;S. stellata PENNELL;S. stellata PENNELL;S. stellata PENNELL;S. stellata PENNELL;S. stellata
Großblütiger F.;– D. grandiflora MILL.3* Kr röhrig-glock;Großblütiger F.;D. grandiflora MILL.3* Kr röhrig-glock;D. grandiflora MILL.3* Kr röhrig-glock;D. grandiflora MILL.;D. grandiflora MILL.;D. grandiflora
Wolliger F.;– D. lanata EHRH.;Wolliger F.;D. lanata EHRH.;D. lanata EHRH.;D. lanata EHRH.;D. lanata EHRH.;D. lanata
Rostfarbiger F.;– D. ferruginea L.;Rostfarbiger F.;D. ferruginea L.;D. ferruginea L.;D. ferruginea L.;D. ferruginea L.;D. ferruginea
Kärntner K.;– W. carinthiaca JACQ.;Kärntner K.;W. carinthiaca JACQ.;W. carinthiaca JACQ.;W. carinthiaca JACQ.;W. carinthiaca JACQ.;W. carinthiaca
Albanischer K.;– W. baldaccii DEGENÄhnlich: Himalaja-K.;Albanischer K.;W. baldaccii DEGENÄhnlich: Himalaja-K.;W. baldaccii DEGENÄhnlich: Himalaja-K.;W. baldaccii DEGEN;W. baldaccii DEGEN;W. baldaccii
Efeu-S.;– O. hederae VAUCHER ex DUBY;Efeu-S.;O. hederae VAUCHER ex DUBY;O. hederae VAUCHER ex DUBY;O. hederae VAUCHER ex DUBY;O. hederae VAUCHER ex DUBY;O. hederae
Herzblättrige K.;– G. cordifolia L.Ähnlich: Zwerg-K., Kri;Herzblättrige K.;G. cordifolia L.Ähnlich: Zwerg-K., Kri;G. cordifolia L.Ähnlich: Zwerg-K., Kri;G. cordifolia L.;G. cordifolia L.;G. cordifolia
Fadenblütige K.;– G. trichosantha FISCH. et C. A. MEY.;Fadenblütige K.;G. trichosantha FISCH. et C. A. MEY.;G. trichosantha FISCH. et C. A. MEY.;G. trichosantha FISCH. et C. A. MEY.;G. trichosantha FISCH. et C. A. MEY.;G. trichosantha
Nacktstängel-K.;– G. nudicaulis L.;Nacktstängel-K.;G. nudicaulis L.;G. nudicaulis L.;G. nudicaulis L.;G. nudicaulis L.;G. nudicaulis
Echte K.;– G. bisnagarica L.;Echte K.;G. bisnagarica L.;G. bisnagarica L.;G. bisnagarica L.;G. bisnagarica L.;G. bisnagarica
Zentralasiatische F.;– I. semiretschenskia GRIERSON;Zentralasiatische F.;I. semiretschenskia GRIERSON;I. semiretschenskia GRIERSON;I. semiretschenskia GRIERSON;I. semiretschenskia GRIERSON;I. semiretschenskia
Gedrungene F.;– I. compacta MAXIM.;Gedrungene F.;I. compacta MAXIM.;I. compacta MAXIM.;I. compacta MAXIM.;I. compacta MAXIM.;I. compacta
Yunnan-F.;– I. delavayi BUREAU et FRANCH.;Yunnan-F.;I. delavayi BUREAU et FRANCH.;I. delavayi BUREAU et FRANCH.;I. delavayi BUREAU et FRANCH.;I. delavayi BUREAU et FRANCH.;I. delavayi
Chinesische F.;– I. sinensis LAM.;Chinesische F.;I. sinensis LAM.;I. sinensis LAM.;I. sinensis LAM.;I. sinensis LAM.;I. sinensis
Scharfe F.;– I. arguta (ROYLE) ROYLE;Scharfe F.;I. arguta (ROYLE) ROYLE;I. arguta (ROYLE) ROYLE;I. arguta (ROYLE) ROYLE;I. arguta (ROYLE) ROYLE;I. arguta
Turkestanische F.;– I. olgae REGEL;Turkestanische F.;I. olgae REGEL;I. olgae REGEL;I. olgae REGEL;I. olgae REGEL;I. olgae
Geflügelte Th., Schwarzäugige Susanne;– Th. alata BOJER ex SIMS;Geflügelte Th., Schwarzäugige Susanne;Th. alata BOJER ex SIMS;Th. alata BOJER ex SIMS;Th. alata BOJER ex SIMS;Th. alata BOJER ex SIMS;Th. alata
Behaarte R.;– R. humilis NUTT.1* Stg zur FrZeit kahl;Behaarte R.;R. humilis NUTT.1* Stg zur FrZeit kahl;R. humilis NUTT.1* Stg zur FrZeit kahl;R. humilis NUTT.;R. humilis NUTT.;R. humilis
Kahle R.;– R. strepens L.;Kahle R.;R. strepens L.;R. strepens L.;R. strepens L.;R. strepens L.;R. strepens
Nesselblättrige S.;– St. attenuata (NEES) NEES subsp. atten;Nesselblättrige S.;St. attenuata (NEES) NEES subsp. atten;St. attenuata (NEES) NEES subsp. atten;St. attenuata (NEES) NEES subsp. atten;St. attenuata (NEES) NEES subsp. atten;St. attenuata subsp. atten
Dioskurides-A.;– A. dioscoridis L. 2* Bl fiederspaltig ;Dioskurides-A.;A. dioscoridis L. 2* Bl fiederspaltig ;A. dioscoridis L. 2* Bl fiederspaltig ;A. dioscoridis L. ;A. dioscoridis L. ;A. dioscoridis
Behaarter A.;– A. hirsutus BOISS. f. roseus D. J. WOO;Behaarter A.;A. hirsutus BOISS. f. roseus D. J. WOO;A. hirsutus BOISS. f. roseus D. J. WOO;A. hirsutus BOISS. f. roseus D. J. WOO;A. hirsutus BOISS. f. roseus D. J. WOO;A. hirsutus f. roseus
Dorniger A.;– A. spinosus L.;Dorniger A.;A. spinosus L.;A. spinosus L.;A. spinosus L.;A. spinosus L.;A. spinosus
Ungarischer A.;– A. hungaricus, s. 6;Ungarischer A.;A. hungaricus, s. 6;A. hungaricus, s. 6;A. hungaricus, s. ;A. hungaricus, s. ;A. hungaricus
Weicher A.;– A. mollis L.;Weicher A.;A. mollis L.;A. mollis L.;A. mollis L.;A. mollis L.;A. mollis
Lousiana-G., Gewöhnliche Teufelsklaue;– P. louisianica (MILL.) THELL.Ähnlich: ;Lousiana-G., Gewöhnliche Teufelsklaue;P. louisianica (MILL.) THELL.Ähnlich: ;P. louisianica (MILL.) THELL.Ähnlich: ;P. louisianica (MILL.) THELL.;P. louisianica (MILL.) THELL.;P. louisianica
Gelbe E.;– I. lutea (LINDL.) VAN ESELT.Martynie –;Gelbe E.;I. lutea (LINDL.) VAN ESELT.Martynie –;I. lutea (LINDL.) VAN ESELT.Martynie –;I. lutea (LINDL.) VAN ESELT.Martynie –;I. lutea (LINDL.) VAN ESELT.Martynie –;I. lutea
Einjährige M.;– M. annua L.;Einjährige M.;M. annua L.;M. annua L.;M. annua L.;M. annua L.;M. annua
Pyrenäen-F.;– R. myconi (L.) RCHB.1* Staubbeutel 2,5;Pyrenäen-F.;R. myconi (L.) RCHB.1* Staubbeutel 2,5;R. myconi (L.) RCHB.1* Staubbeutel 2,5;R. myconi (L.) RCHB.;R. myconi (L.) RCHB.;R. myconi
Nathalia-F. – R. nathaliae PANČIĆ et PETROVIČ;Ähnlich: Serbischer F. – R. serbica PANC;Nathalia-F.;R. serbica PANC;R. serbica PANC;R. serbica PANC;R. serbica PANC;R. serbica
Thessalische J.;– J. heldreichii (BOISS.) BOISS.;Thessalische J.;J. heldreichii (BOISS.) BOISS.;J. heldreichii (BOISS.) BOISS.;J. heldreichii (BOISS.) BOISS.;J. heldreichii (BOISS.) BOISS.;J. heldreichii
Rhodopen-H.;– H. rhodopensis FRIV.Ähnlich: Ferdinand;Rhodopen-H.;H. rhodopensis FRIV.Ähnlich: Ferdinand;H. rhodopensis FRIV.Ähnlich: Ferdinand;H. rhodopensis FRIV.;H. rhodopensis FRIV.;H. rhodopensis
Assam-P.;– P. parryorum C. E. C. FISCH.;Assam-P.;P. parryorum C. E. C. FISCH.;P. parryorum C. E. C. FISCH.;P. parryorum C. E. C. FISCH.;P. parryorum C. E. C. FISCH.;P. parryorum
Felsen-D., Falsches Afrikanisches Veilchen;– St. saxorum ENGL.;Felsen-D., Falsches Afrikanisches Veilchen;St. saxorum ENGL.;St. saxorum ENGL.;St. saxorum ENGL.;St. saxorum ENGL.;St. saxorum
Alpen-F.;– P. clusiana JACQ.;Alpen-F.;P. clusiana JACQ.;P. clusiana JACQ.;P. clusiana JACQ.;P. clusiana JACQ.;P. clusiana
Echtes F.;– P. recta L.30* Stg bogig aufsteigend b;Echtes F.;P. recta L.30* Stg bogig aufsteigend b;P. recta L.30* Stg bogig aufsteigend b;P. recta L.;P. recta L.;P. recta
Dünnsporniges F.;– P. leptoceras RCHB.4 (2) Bl eifg-längl;Dünnsporniges F.;P. leptoceras RCHB.4 (2) Bl eifg-längl;P. leptoceras RCHB.4 (2) Bl eifg-längl;P. leptoceras RCHB.;P. leptoceras RCHB.;P. leptoceras
Großblütiges F.;– P. grandiflora LAM.4* Unterste Bl elli;Großblütiges F.;P. grandiflora LAM.4* Unterste Bl elli;P. grandiflora LAM.4* Unterste Bl elli;P. grandiflora LAM.;P. grandiflora LAM.;P. grandiflora
Langblättriges F.;– P. longifolia RAMOND ex DC.Ähnlich: Su;Langblättriges F.;P. longifolia RAMOND ex DC.Ähnlich: Su;P. longifolia RAMOND ex DC.Ähnlich: Su;P. longifolia RAMOND ex DC.;P. longifolia RAMOND ex DC.;P. longifolia
Sand-W.;– P. arenaria WALDST. et KIT.1* Stg gest;Sand-W.;P. arenaria WALDST. et KIT.1* Stg gest;P. arenaria WALDST. et KIT.1* Stg gest;P. arenaria WALDST. et KIT.;P. arenaria WALDST. et KIT.;P. arenaria
Spitz-W.;– P. lanceolata L.;Spitz-W.;P. lanceolata L.;P. lanceolata L.;P. lanceolata L.;P. lanceolata L.;P. lanceolata
Ostafrikanischer L.;– C. ugandense PRAIN;Ostafrikanischer L.;C. ugandense PRAIN;C. ugandense PRAIN;C. ugandense PRAIN;C. ugandense PRAIN;C. ugandense
Knotenblütige T.;– P. nodiflora (L.) GREENE;Knotenblütige T.;P. nodiflora (L.) GREENE;P. nodiflora (L.) GREENE;P. nodiflora (L.) GREENE;P. nodiflora (L.) GREENE;P. nodiflora
Moos-V.;– V. tenuisecta BRIQ.;Moos-V.;V. tenuisecta BRIQ.;V. tenuisecta BRIQ.;V. tenuisecta BRIQ.;V. tenuisecta BRIQ.;V. tenuisecta
Rosen-V.;– V. canadensis (L.) BRITTON3* TragBl de;Rosen-V.;V. canadensis (L.) BRITTON3* TragBl de;V. canadensis (L.) BRITTON3* TragBl de;V. canadensis (L.) BRITTON;V. canadensis (L.) BRITTON;V. canadensis
Dakota-V.;– V. bipinnatifida NUTT.;Dakota-V.;V. bipinnatifida NUTT.;V. bipinnatifida NUTT.;V. bipinnatifida NUTT.;V. bipinnatifida NUTT.;V. bipinnatifida
Ausläufer-V.;– V. rigida SPRENG.;Ausläufer-V.;V. rigida SPRENG.;V. rigida SPRENG.;V. rigida SPRENG.;V. rigida SPRENG.;V. rigida
Argentinische V.;– V. bonariensis L.6 (4) Bl bis 5 cm lg ;Argentinische V.;V. bonariensis L.6 (4) Bl bis 5 cm lg ;V. bonariensis L.6 (4) Bl bis 5 cm lg ;V. bonariensis L.;V. bonariensis L.;V. bonariensis
Eichenblättrige V.;– V. peruviana (L.) BRITTON;Eichenblättrige V.;V. peruviana (L.) BRITTON;V. peruviana (L.) BRITTON;V. peruviana (L.) BRITTON;V. peruviana (L.) BRITTON;V. peruviana
Hybrid-Bartblume;– C. × clandonensis N. W. SIMMONDS ex RE;Hybrid-Bartblume;C. × clandonensis N. W. SIMMONDS ex RE;C. × clandonensis N. W. SIMMONDS ex RE;C. × clandonensis N. W. SIMMONDS ex RE;C. × clandonensis N. W. SIMMONDS ex RE;C. × clandonensis
Salbei-G.;– T. scorodonia L.;Salbei-G.;T. scorodonia L.;T. scorodonia L.;T. scorodonia L.;T. scorodonia L.;T. scorodonia
Hyrkanischer G.;– T. hyrcanicum L.;Hyrkanischer G.;T. hyrcanicum L.;T. hyrcanicum L.;T. hyrcanicum L.;T. hyrcanicum L.;T. hyrcanicum
Edel-G.;– T. chamaedrys L.Ähnlich: Bastard-Gaman;Edel-G.;T. chamaedrys L.Ähnlich: Bastard-Gaman;T. chamaedrys L.Ähnlich: Bastard-Gaman;T. chamaedrys L.;T. chamaedrys L.;T. chamaedrys
Berg-G.;– T. montanum L.4* Bl gekerbt od. gesägt;Berg-G.;T. montanum L.4* Bl gekerbt od. gesägt;T. montanum L.4* Bl gekerbt od. gesägt;T. montanum L.;T. montanum L.;T. montanum
Pyrenäen-G.;– T. pyrenaicum L.;Pyrenäen-G.;T. pyrenaicum L.;T. pyrenaicum L.;T. pyrenaicum L.;T. pyrenaicum L.;T. pyrenaicum
Polei-G., Marienkraut;– T. polium L.;Polei-G., Marienkraut;T. polium L.;T. polium L.;T. polium L.;T. polium L.;T. polium
Kriech-G.;– A. reptans L.;Kriech-G.;A. reptans L.;A. reptans L.;A. reptans L.;A. reptans L.;A. reptans
Heide-G.;– A. genevensis L.2* Pfl kurzhaarig. Obe;Heide-G.;A. genevensis L.2* Pfl kurzhaarig. Obe;A. genevensis L.2* Pfl kurzhaarig. Obe;A. genevensis L.;A. genevensis L.;A. genevensis
Pyramiden-G.;– A. pyramidalis L.;Pyramiden-G.;A. pyramidalis L.;A. pyramidalis L.;A. pyramidalis L.;A. pyramidalis L.;A. pyramidalis
Ambon-H., Jamaikathymian;– P. amboinicus (LOUR.) SPRENG.2* BStand;Ambon-H., Jamaikathymian;P. amboinicus (LOUR.) SPRENG.2* BStand;P. amboinicus (LOUR.) SPRENG.2* BStand;P. amboinicus (LOUR.) SPRENG.;P. amboinicus (LOUR.) SPRENG.;P. amboinicus
Hunds-H.;– P. caninus ROTH;Hunds-H.;P. caninus ROTH;P. caninus ROTH;P. caninus ROTH;P. caninus ROTH;P. caninus
Schlechter-H.;– P. neochilus SCHLTR.4* Kr 20–25 mm lg ;Schlechter-H.;P. neochilus SCHLTR.4* Kr 20–25 mm lg ;P. neochilus SCHLTR.4* Kr 2025 mm lg ;P. neochilus SCHLTR.;P. neochilus SCHLTR.;P. neochilus
Schmuck-H.;– P. ornatus CODD5 (1) Scheinquirle 6–10;Schmuck-H.;P. ornatus CODD5 (1) Scheinquirle 6–10;P. ornatus CODD5 (1) Scheinquirle 6–10;P. ornatus CODD;P. ornatus CODD;P. ornatus
Forster-H., Schwedischer Efeu, Weihrauchkraut;– P. forsteri BENTH.5* Scheinquirle 2–6b;Forster-H., Schwedischer Efeu, Weihrauchkraut;P. forsteri BENTH.5* Scheinquirle 2–6b;P. forsteri BENTH.5* Scheinquirle 2–6b;P. forsteri BENTH.;P. forsteri BENTH.;P. forsteri
Echter H., Mottenkönig;– P. fruticosus L’HÉR.6* KrRöhre > 10 mm;Echter H., Mottenkönig;P. fruticosus L’HÉR.6* KrRöhre > 10 mm;P. fruticosus L’HÉR.6* KrRöhre > 10 mm;P. fruticosus L’HÉR.;P. fruticosus L’HÉR.;P. fruticosus
Kerzen-H.;– P. oertendahlii TH. FR.;Kerzen-H.;P. oertendahlii TH. FR.;P. oertendahlii TH. FR.;P. oertendahlii TH. FR.;P. oertendahlii TH. FR.;P. oertendahlii
Sackförmiger H.;– P. saccatus BENTH.;Sackförmiger H.;P. saccatus BENTH.;P. saccatus BENTH.;P. saccatus BENTH.;P. saccatus BENTH.;P. saccatus
Echter L.;– L. angustifolia MILL.;Echter L.;L. angustifolia MILL.;L. angustifolia MILL.;L. angustifolia MILL.;L. angustifolia MILL.;L. angustifolia
Schopf-L.;– L. stoechas L.Ähnlich: Französischer L;Schopf-L.;L. stoechas L.Ähnlich: Französischer L;L. stoechas L.Ähnlich: Französischer L;L. stoechas L.;L. stoechas L.;L. stoechas
Elsholtzie, Chinesische K.;– E. stauntonii BENTH.;Elsholtzie, Chinesische K.;E. stauntonii BENTH.;E. stauntonii BENTH.;E. stauntonii BENTH.;E. stauntonii BENTH.;E. stauntonii
Hirsch-M.;– M. cervina L.;Hirsch-M.;M. cervina L.;M. cervina L.;M. cervina L.;M. cervina L.;M. cervina
Korsische M., Zarte M.;– M. requienii BENTH.;Korsische M., Zarte M.;M. requienii BENTH.;M. requienii BENTH.;M. requienii BENTH.;M. requienii BENTH.;M. requienii
Polei-M.;– M. pulegium L.;Polei-M.;M. pulegium L.;M. pulegium L.;M. pulegium L.;M. pulegium L.;M. pulegium
Wasser-M.;– M. aquatica L.5* Scheinquirle meist bl;Wasser-M.;M. aquatica L.5* Scheinquirle meist bl;M. aquatica L.5* Scheinquirle meist bl;M. aquatica L.;M. aquatica L.;M. aquatica
Dalmatiner M.;– M. × dalmatica TAUSCH8* Stg mit einfac;Dalmatiner M.;M. × dalmatica TAUSCH8* Stg mit einfac;M. × dalmatica TAUSCH8* Stg mit einfac;M. × dalmatica TAUSCH;M. × dalmatica TAUSCH;M. dalmatica
Kärntner M.;– M. × carinthiaca HOST;Kärntner M.;M. × carinthiaca HOST;M. × carinthiaca HOST;M. × carinthiaca HOST;M. × carinthiaca HOST;M. × carinthiaca
Edel-M.;– M. × gracilis SOLE;Edel-M.;M. × gracilis SOLE;M. × gracilis SOLE;M. × gracilis SOLE;M. × gracilis SOLE;M. gracilis
Rote M.;– M. luteorubra BENTH.;Rote M.;M. luteorubra BENTH.;M. luteorubra BENTH.;M. luteorubra BENTH.;M. luteorubra BENTH.;M. luteorubra
Pfeffer-M.;– M. × piperita L.11* Pfl meist flaumig ;Pfeffer-M.;M. × piperita L.11* Pfl meist flaumig ;M. × piperita L.11* Pfl meist flaumig ;M. × piperita L.;M. × piperita L.;M. piperita
Liebliche M.;– M. × suavis GUSS.;Liebliche M.;M. × suavis GUSS.;M. × suavis GUSS.;M. × suavis GUSS.;M. × suavis GUSS.;M. suavis
Grüne M.;– M. spicata L. em. L.12* Bl useits filz;Grüne M.;M. spicata L. em. L.12* Bl useits filz;M. spicata L. em. L.12* Bl useits filz;M. spicata L. em. L.;M. spicata L. em. L.;M. spicata
Rundblättrige M.;– M. suaveolens EHRH.;Rundblättrige M.;M. suaveolens EHRH.;M. suaveolens EHRH.;M. suaveolens EHRH.;M. suaveolens EHRH.;M. suaveolens
Zottige M., Apfel-M.;– M. × villosa HUDS.;Zottige M., Apfel-M.;M. × villosa HUDS.;M. × villosa HUDS.;M. × villosa HUDS.;M. × villosa HUDS.;M. villosa
Ross-M.;– M. longifolia (L.) L.;Ross-M.;M. longifolia (L.) L.;M. longifolia (L.) L.;M. longifolia (L.) L.;M. longifolia (L.) L.;M. longifolia
Falsche Apfel-M.;– M. rotundifolia (L.) HUDS.;Falsche Apfel-M.;M. rotundifolia (L.) HUDS.;M. rotundifolia (L.) HUDS.;M. rotundifolia (L.) HUDS.;M. rotundifolia (L.) HUDS.;M. rotundifolia
Gezähnte M.;– M. × villosonervata OPIZ;Gezähnte M.;M. × villosonervata OPIZ;M. × villosonervata OPIZ;M. × villosonervata OPIZ;M. × villosonervata OPIZ;M. × villosonervata
Ufer-W.;– L. europaeus L. ;Ufer-W.;L. europaeus L. ;L. europaeus L. ;L. europaeus L. ;L. europaeus L. ;L. europaeus
Ysop;blättriges K. – C. hyssopifolia HUMB., B;Ysopblättriges K.;C. hyssopifolia HUMB., B;C. hyssopifolia HUMB., B;C. hyssopifolia HUMB., B;C. hyssopifolia HUMB., B;C. hyssopifolia
Amanus-D.;– O. amanum POST1* Zumindest 2 StaubBl d;Amanus-D.;O. amanum POST1* Zumindest 2 StaubBl d;O. amanum POST1* Zumindest 2 StaubBl d;O. amanum POST;O. amanum POST;O. amanum
