genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Mädesüß, Spierstaude;Rotes M., Amerikanisches M.;Filipendula;F. rubra;Z;NA;NA
Mädesüß, Spierstaude;Handblättriges M.;Filipendula;F. palmata;Z;NA;NA
Mädesüß, Spierstaude;Echtes M., Großes M.;Filipendula;F. ulmaria;Z;NA;W
Mädesüß, Spierstaude;Kamtschatka-M.;Filipendula;F. camtschatica;Z;NA;NA
Mädesüß, Spierstaude;Hybrid-M.;Filipendula;F. purpurea;Z;NA;NA
Himbeere, Moltebeere, Brombeere;Zimt-H.;Rubus;R. odoratus;Z;NA;W
Himbeere, Moltebeere, Brombeere;Moltebeere;Rubus;R. chamaemorus;Z;NA;W
Himbeere, Moltebeere, Brombeere;Kriech-H.;Rubus;R. pentalobus;Z;NA;NA
Himbeere, Moltebeere, Brombeere;Alåkerbeere;Rubus;R. × stellarcticus;Z;NA;NA
Himbeere, Moltebeere, Brombeere;Arktische H.;Rubus;R. arcticus;Z;NA;NA
Himbeere, Moltebeere, Brombeere;Himalaja-H.;Rubus;R. nepalensis;Z;NA;NA
Himbeere, Moltebeere, Brombeere;Himbeere;Rubus;R. idaeus;N;NA;W
Himbeere, Moltebeere, Brombeere;Japanische H.;Rubus;R. illecebrosus;N;Z;NA
Odermennig;Kleiner O.;Agrimonia;A. eupatoria;Z;NA;W
Odermennig;Großer O.;Agrimonia;A. procera;Z;NA;W
Wiesenknopf;Kleiner W., Kleine Bibernelle;Sanguisorba;S. minor;N;Z;NA
Wiesenknopf;Südalpischer W.;Sanguisorba;S. dodecandra;Z;NA;NA
Wiesenknopf;Hakusan-W.;Sanguisorba;S. hakusanensis;Z;NA;NA
Wiesenknopf;Großer W.;Sanguisorba;S. officinalis;Z;NA;NA
Wiesenknopf;Kanadischer W.;Sanguisorba;S. canadensis;Z;NA;NA
Wiesenknopf;Ostasiatischer W.;Sanguisorba;S. tenuifolia;Z;NA;NA
Perlbeere;Perlbeere;Margyricarpus;M. pinnatus;Z;NA;NA
Stachelnüsschen;Unbewehrtes St.;Acaena;A. inermis f.;Z;NA;NA
Stachelnüsschen;Seidenhaariges St.;Acaena;A. sericea;Z;NA;NA
Stachelnüsschen;Tausendblättriges St.;Acaena;A. myriophylla;Z;NA;NA
Stachelnüsschen;Südamerikanisches St.;Acaena;A. ovalifolia;Z;NA;NA
Stachelnüsschen;Magellan-St.;Acaena;A. magellanica;Z;NA;NA
Stachelnüsschen;Braunblättriges St.;Acaena;A. microphylla f.;Z;NA;NA
Stachelnüsschen;Blaugrünes St.;Acaena;A. buchananii f.;Z;NA;NA
Stachelnüsschen;Piripiri-St.;Acaena;A. novae-zelandiae;Z;NA;NA
Stachelnüsschen;Gänsefingerkraut-St.;Acaena;A. anserinifolia;Z;NA;NA
Stachelnüsschen;Graublaues St.;Acaena;A. caesiiglauca;Z;NA;NA
Stachelnüsschen;Magellan-St.;Acaena;A. magellanica;Z;NA;NA
Nelkenwurz;Ross-N.;Geum;G. rossii;Z;NA;NA
Nelkenwurz;Kriechende N.;Geum;G. reptans;Z;NA;W
Nierembergie, Becherblüte –;Kriechende N.;Nierembergia;N. repens;Z;NA;NA
Nelkenwurz;Prärie-N.;Geum;G. triflorum;Z;NA;NA
Nelkenwurz;Berg-N., Petersbart;Geum;G. montanum;Z;NA;W
Nelkenwurz;Bulgarische N.;Geum;D. microlepis;Z;NA;NA
Nelkenwurz;Bach-N.;Geum;G. rivale;Z;NA;W
Nelkenwurz;Rote N.;Geum;D. cruentus;Z;NA;NA
Nelkenwurz;Japanische N.;Geum;G. japonicum;Z;NA;NA
Nelkenwurz;Russische N.;Geum;G. aleppicum;Z;NA;NA
Waldsteinie, Golderdbeere;Gelapptblättrige W.;Waldsteinia;W. geoides;Z;NA;NA
Waldsteinie, Golderdbeere;Dreiblättrige W.;Waldsteinia;W. ternata;Z;NA;NA
Fingerkraut;Dsungarisches F.;Potentilla;P. salesoviana;Z;NA;NA
Fingerkraut;Strauch-F., Fingerstrauch;Potentilla;P. fruticosa;Z;NA;W
Fingerkraut;Sumpf-F., Blutauge;Potentilla;P. palustris;Z;NA;W
Fingerkraut;Felsen-F.;Potentilla;P. rupestris;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Felsen-F.;Alchemilla;A. saxatilis;Z;NA;NA
Fingerkraut;Schlitzblättriges F.;Potentilla;P. multifida;Z;NA;NA
Fingerkraut;Gänse-F.;Potentilla;P. anserina;Z;NA;W
Fingerkraut;Zweispaltiges F.;Potentilla;P. bifurca;Z;NA;NA
Fingerkraut;Chinesisches F.;Potentilla;P. chinensis;Z;NA;NA
Fingerkraut;Blutwurz, Tormentill;Potentilla;P. erecta;Z;NA;W
Fingerkraut;Englisches F.;Potentilla;P. anglica;Z;NA;W
Fingerkraut;Ansehnliches F.;Potentilla;P. speciosa;Z;NA;NA
Fingerkraut;Dolomiten-F.;Potentilla;P. nitida;Z;NA;NA
Fingerkraut;Erdbeer-F.;Potentilla;P. sterilis;Z;NA;W
Fingerkraut;Blutrotes F.;Potentilla;P. atrosanguinea var. atrosanguinea;Z;NA;NA
