Vernacular_name;Species;Genus;Author
Maiapfel, Fußblatt;Nordamerikanischer M., Gewöhnlicher M., Entenfuß;Podophyllum;L.
Schirmblatt;Schirmblatt;Diphylleia;MICHX.
Romneya;Coulter-R;Romneya;HARV.
Stachelmohn;Mexikanischer St.;Argemone;L.
Stachelmohn;Großblütiger St.;Argemone;L.
Stachelmohn;Rötlichweißer St.;Argemone;L.
Stachelmohn;Vielblütiger St.;Argemone;L.
Mohn;Japan;Papaver;L.
Mohn;Polar;Papaver;L.
Mohn;Grau;Papaver;L.
Mohn;Altai-M., Island-M;Papaver;L.
Mohn;Alpen-M;Papaver;L.
Mohn;Pfauen-M;Papaver;L.
Mohn;Orientalischer M;Papaver;L.
Mohn;Scharlach-M., Arznei-M;Papaver;L.
Mohn;Falscher Orient-M. –;Papaver;L.
Mohn;Behaarter M;Papaver;L.
Mohn;Tulpen-M;Papaver;L.
Mohn;Garten-M;Papaver;L.
Mohn;Schlaf-M;Papaver;L.
Mohn;Schütt-M;Papaver;L.
Mohn;Schließ-M;Papaver;L.
Mohn;Päonien-M;Papaver;L.
Mohn;Klatsch-M;Papaver;L.
Mohn;Shirley;Papaver;L.
Mohn;Seiden-M;Papaver;L.
Mohn;Ranunkel-M.;Papaver;L.
Mohn;: Marienkäfer-M., Veränderter M;Papaver;L.
Mohn;Roemerie;Papaver;L.
Mohn;Ziegelroter M;Papaver;L.
Mohn;Fels-M;Papaver;L.
Mohn;Atlas-M;Papaver;L.
Scheinmohn, Keulenmohn;Stachliger Sch.;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Gelbhaariger Sch.;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Fünfnerviger Sch.;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Ganzblättriger Sch.;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Zottiger Sch., Cathcartie;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Kambrischer Sch., Wald-Sch., Pyrenäen-Sch.;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Schöllkrautblättriger Sch.;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Rispiger Sch.;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Dhwoji-Sch.;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Nepal-Sch., Satin-Sch.;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Großer Sch.;Meconopsis;VIG.
Scheinmohn, Keulenmohn;Blauer Sch., Himalaja-Sch.;Meconopsis;VIG.
Abendmohn;Abendmohn;Hesperomecon;GREENE
Breitfaden;Breitfaden, Cremeschale;Platystemon;BENTH.
Schöllkrautmohn;Zweiblättriger Sch.;Stylophorum;NUTT.
Schöllkraut;Schöllkraut;Chelidonium;L.
Waldmohn;Japanischer W.;Hylomecon;MAXIM.
Schneemohn;Schneemohn;Eomecon;HANCE
Blutwurzel;Kanadische B.;Sanguinaria;L.
Federmohn;Weißer F.;Macleaya;R. BR.
Federmohn;Ockerfarbiger F.;Macleaya;R. BR.
Hornmohn;Gelber H.;Glaucium;MILL.
Hornmohn;Schuppiger H;Glaucium;MILL.
Hornmohn;Großblütiger H.;Glaucium;MILL.
Hornmohn;Roter H;Glaucium;MILL.
Dicranostigma;Salat-D.;Dicranostigma;HOOK.
Dicranostigma;Franchet-D.;Dicranostigma;HOOK.
Dicranostigma;Dünnstieliges D.;Dicranostigma;HOOK.
Kappenmohn, Schlafmützchen;Kalifornischer K., Schlafmützchen;Eschscholzia;CHAM.
Kappenmohn, Schlafmützchen;Schmalblättriger K.;Eschscholzia;CHAM.
Mexikomohn;Mexikomohn;NA;NA
Lappenblume;Dünnfrüchtige L.;Hypecoum;L.
Lappenblume;Niederliegende L.;Hypecoum;L.
Lappenblume;Bartlose L.;Hypecoum;L.
Herzblume;Goldne H.;Dicentra;BERNH.
Herzblume;Zweifarbige H., Tränendes Herz;Dicentra;BERNH.
Herzblume;Großblütige H.;Dicentra;BERNH.
Herzblume;Fernöstliche H.;Dicentra;BERNH.
Herzblume;Pazifische H.;Dicentra;BERNH.
Herzblume;Zwerg-H.;Dicentra;BERNH.
Herzblume;Kanadische H.;Dicentra;BERNH.
Herzblume;Kapuzen-H., Zwerg-H., Holländerhosen;Dicentra;BERNH.
Harlekinlerchensporn;Harlekinlerchensporn;Capnoides;MILL.
Doppelkappe;Doppelkappe;Adlumia;RAF.
Lerchensporn;Aitchison-L.;Corydalis;DC.
Lerchensporn;Sewerzow-L.;Corydalis;DC.
Lerchensporn;Popow- L.;Corydalis;DC.
Lerchensporn;Karatau-L.;Corydalis;DC.
Lerchensporn;Fingerblatt-L.;Corydalis;DC.
Lerchensporn;Schmal-blättriger L.;Corydalis;DC.
Lerchensporn;Edler L.;Corydalis;DC.
Lerchensporn;Wilson-L.;Corydalis;DC.
